Frequency,Angle_of_attack,Chord_length,Free_stream_velocity,Suction_side_displacement_thickness,Scaled_SPL
3150,0.0,0.1524,31.7,0.00209405,124.207
4000,0.0,0.1524,31.7,0.00209405,123.807
630,2.7,0.1524,71.3,0.00243851,127.404
800,2.7,0.1524,71.3,0.00243851,127.394
1250,2.7,0.1524,71.3,0.00243851,130.144
1600,2.7,0.1524,71.3,0.00243851,130.644
2000,2.7,0.1524,71.3,0.00243851,130.114
4000,2.7,0.1524,71.3,0.00243851,126.534
5000,2.7,0.1524,71.3,0.00243851,124.364
6300,2.7,0.1524,71.3,0.00243851,121.944
10000,2.7,0.1524,71.3,0.00243851,116.724
12500,2.7,0.1524,71.3,0.00243851,113.034
16000,2.7,0.1524,71.3,0.00243851,110.364
500,2.7,0.1524,39.6,0.00294804,121.009
630,2.7,0.1524,39.6,0.00294804,125.809
800,2.7,0.1524,39.6,0.00294804,128.829
1250,2.7,0.1524,39.6,0.00294804,130.829
1600,2.7,0.1524,39.6,0.00294804,130.049
2000,2.7,0.1524,39.6,0.00294804,128.139
5000,2.7,0.1524,39.6,0.00294804,121.499
6300,2.7,0.1524,39.6,0.00294804,119.209
8000,2.7,0.1524,39.6,0.00294804,116.659
10000,2.7,0.1524,39.6,0.00294804,112.589
400,5.4,0.1524,71.3,0.00401199,124.121
500,5.4,0.1524,71.3,0.00401199,126.291
630,5.4,0.1524,71.3,0.00401199,128.971
800,5.4,0.1524,71.3,0.00401199,131.281
1000,5.4,0.1524,71.3,0.00401199,133.201
1250,5.4,0.1524,71.3,0.00401199,134.111
1600,5.4,0.1524,71.3,0.00401199,133.241
2000,5.4,0.1524,71.3,0.00401199,131.111
2500,5.4,0.1524,71.3,0.00401199,127.591
3150,5.4,0.1524,71.3,0.00401199,123.311
4000,5.4,0.1524,71.3,0.00401199,121.431
5000,5.4,0.1524,71.3,0.00401199,120.061
6300,5.4,0.1524,71.3,0.00401199,116.411
400,5.4,0.1524,55.5,0.00433288,126.807
500,5.4,0.1524,55.5,0.00433288,129.367
630,5.4,0.1524,55.5,0.00433288,131.807
1000,5.4,0.1524,55.5,0.00433288,132.127
1250,5.4,0.1524,55.5,0.00433288,130.777
1600,5.4,0.1524,55.5,0.00433288,130.567
2000,5.4,0.1524,55.5,0.00433288,128.707
2500,5.4,0.1524,55.5,0.00433288,124.077
3150,5.4,0.1524,55.5,0.00433288,121.587
6300,5.4,0.1524,55.5,0.00433288,117.287
8000,5.4,0.1524,55.5,0.00433288,114.927
400,5.4,0.1524,39.6,0.00485029,127.637
500,5.4,0.1524,39.6,0.00485029,129.937
800,5.4,0.1524,39.6,0.00485029,132.757
1000,5.4,0.1524,39.6,0.00485029,130.507
1250,5.4,0.1524,39.6,0.00485029,127.117
1600,5.4,0.1524,39.6,0.00485029,126.267
2000,5.4,0.1524,39.6,0.00485029,124.647
2500,5.4,0.1524,39.6,0.00485029,120.497
4000,5.4,0.1524,39.6,0.00485029,117.137
5000,5.4,0.1524,39.6,0.00485029,117.037
6300,5.4,0.1524,39.6,0.00485029,116.677
315,5.4,0.1524,31.7,0.00525474,125.741
400,5.4,0.1524,31.7,0.00525474,127.781
500,5.4,0.1524,31.7,0.00525474,129.681
630,5.4,0.1524,31.7,0.00525474,131.471
800,5.4,0.1524,31.7,0.00525474,131.491
1000,5.4,0.1524,31.7,0.00525474,128.241
1250,5.4,0.1524,31.7,0.00525474,123.991
1600,5.4,0.1524,31.7,0.00525474,123.761
2000,5.4,0.1524,31.7,0.00525474,122.771
2500,5.4,0.1524,31.7,0.00525474,119.151
4000,5.4,0.1524,31.7,0.00525474,116.181
5000,5.4,0.1524,31.7,0.00525474,115.691
6300,5.4,0.1524,31.7,0.00525474,115.591
400,7.2,0.1524,71.3,0.00752039,130.123
500,7.2,0.1524,71.3,0.00752039,132.043
630,7.2,0.1524,71.3,0.00752039,134.853
800,7.2,0.1524,71.3,0.00752039,136.023
1000,7.2,0.1524,71.3,0.00752039,134.273
1250,7.2,0.1524,71.3,0.00752039,132.513
1600,7.2,0.1524,71.3,0.00752039,130.893
2000,7.2,0.1524,71.3,0.00752039,128.643
2500,7.2,0.1524,71.3,0.00752039,124.353
3150,7.2,0.1524,71.3,0.00752039,116.783
5000,7.2,0.1524,71.3,0.00752039,118.343
10000,7.2,0.1524,71.3,0.00752039,110.313
250,7.2,0.1524,39.6,0.00909175,127.488
315,7.2,0.1524,39.6,0.00909175,130.558
400,7.2,0.1524,39.6,0.00909175,132.118
500,7.2,0.1524,39.6,0.00909175,132.658
630,7.2,0.1524,39.6,0.00909175,133.198
1000,7.2,0.1524,39.6,0.00909175,128.338
1250,7.2,0.1524,39.6,0.00909175,122.428
2000,7.2,0.1524,39.6,0.00909175,120.228
2500,7.2,0.1524,39.6,0.00909175,117.478
3150,7.2,0.1524,39.6,0.00909175,111.818
6300,7.2,0.1524,39.6,0.00909175,112.688
8000,7.2,0.1524,39.6,0.00909175,111.588
10000,7.2,0.1524,39.6,0.00909175,110.868
200,9.9,0.1524,71.3,0.0193001,134.319
250,9.9,0.1524,71.3,0.0193001,135.329
400,9.9,0.1524,71.3,0.0193001,135.079
500,9.9,0.1524,71.3,0.0193001,131.279
630,9.9,0.1524,71.3,0.0193001,129.889
800,9.9,0.1524,71.3,0.0193001,128.879
1000,9.9,0.1524,71.3,0.0193001,126.349
1250,9.9,0.1524,71.3,0.0193001,122.679
1600,9.9,0.1524,71.3,0.0193001,121.789
2500,9.9,0.1524,71.3,0.0193001,119.639
3150,9.9,0.1524,71.3,0.0193001,116.849
4000,9.9,0.1524,71.3,0.0193001,115.079
200,9.9,0.1524,55.5,0.0208438,131.955
250,9.9,0.1524,55.5,0.0208438,133.235
315,9.9,0.1524,55.5,0.0208438,132.355
400,9.9,0.1524,55.5,0.0208438,131.605
630,9.9,0.1524,55.5,0.0208438,127.315
800,9.9,0.1524,55.5,0.0208438,126.565
1000,9.9,0.1524,55.5,0.0208438,124.665
1250,9.9,0.1524,55.5,0.0208438,121.635
1600,9.9,0.1524,55.5,0.0208438,119.875
2500,9.9,0.1524,55.5,0.0208438,118.365
3150,9.9,0.1524,55.5,0.0208438,115.085
4000,9.9,0.1524,55.5,0.0208438,112.945
6300,9.9,0.1524,55.5,0.0208438,110.555
200,9.9,0.1524,39.6,0.0233328,127.315
250,9.9,0.1524,39.6,0.0233328,128.335
315,9.9,0.1524,39.6,0.0233328,128.595
500,9.9,0.1524,39.6,0.0233328,126.835
630,9.9,0.1524,39.6,0.0233328,126.465
800,9.9,0.1524,39.6,0.0233328,126.345
1000,9.9,0.1524,39.6,0.0233328,123.835
1250,9.9,0.1524,39.6,0.0233328,120.555
1600,9.9,0.1524,39.6,0.0233328,118.545
2500,9.9,0.1524,39.6,0.0233328,116.295
3150,9.9,0.1524,39.6,0.0233328,113.525
4000,9.9,0.1524,39.6,0.0233328,112.265
5000,9.9,0.1524,39.6,0.0233328,111.135
6300,9.9,0.1524,39.6,0.0233328,109.885
200,9.9,0.1524,31.7,0.0252785,127.299
250,9.9,0.1524,31.7,0.0252785,128.559
400,9.9,0.1524,31.7,0.0252785,128.939
500,9.9,0.1524,31.7,0.0252785,127.179
630,9.9,0.1524,31.7,0.0252785,126.049
800,9.9,0.1524,31.7,0.0252785,125.539
1000,9.9,0.1524,31.7,0.0252785,122.149
1250,9.9,0.1524,31.7,0.0252785,118.619
1600,9.9,0.1524,31.7,0.0252785,117.119
2000,9.9,0.1524,31.7,0.0252785,116.859
2500,9.9,0.1524,31.7,0.0252785,114.729
3150,9.9,0.1524,31.7,0.0252785,112.209
4000,9.9,0.1524,31.7,0.0252785,111.459
6300,9.9,0.1524,31.7,0.0252785,108.689
200,12.6,0.1524,71.3,0.0483159,128.354
250,12.6,0.1524,71.3,0.0483159,129.744
400,12.6,0.1524,71.3,0.0483159,127.094
500,12.6,0.1524,71.3,0.0483159,121.664
1000,12.6,0.1524,71.3,0.0483159,122.044
1250,12.6,0.1524,71.3,0.0483159,120.154
1600,12.6,0.1524,71.3,0.0483159,120.534
2000,12.6,0.1524,71.3,0.0483159,117.504
2500,12.6,0.1524,71.3,0.0483159,115.234
3150,12.6,0.1524,71.3,0.0483159,113.334
4000,12.6,0.1524,71.3,0.0483159,108.034
5000,12.6,0.1524,71.3,0.0483159,108.034
6300,12.6,0.1524,71.3,0.0483159,107.284
315,12.6,0.1524,39.6,0.0584113,116.02
500,12.6,0.1524,39.6,0.0584113,114.9
630,12.6,0.1524,39.6,0.0584113,116.55
800,12.6,0.1524,39.6,0.0584113,116.56
1000,12.6,0.1524,39.6,0.0584113,114.67
1250,12.6,0.1524,39.6,0.0584113,112.16
2000,12.6,0.1524,39.6,0.0584113,109.52
2500,12.6,0.1524,39.6,0.0584113,106.88
3150,12.6,0.1524,39.6,0.0584113,106.26
4000,12.6,0.1524,39.6,0.0584113,104.5
5000,12.6,0.1524,39.6,0.0584113,104.13
800,0.0,0.0508,71.3,0.000740478,130.96
1000,0.0,0.0508,71.3,0.000740478,129.45
1250,0.0,0.0508,71.3,0.000740478,128.56
1600,0.0,0.0508,71.3,0.000740478,129.68
2000,0.0,0.0508,71.3,0.000740478,131.06
2500,0.0,0.0508,71.3,0.000740478,131.31
3150,0.0,0.0508,71.3,0.000740478,135.07
4000,0.0,0.0508,71.3,0.000740478,134.43
5000,0.0,0.0508,71.3,0.000740478,134.43
6300,0.0,0.0508,71.3,0.000740478,133.04
8000,0.0,0.0508,71.3,0.000740478,130.89
10000,0.0,0.0508,71.3,0.000740478,128.74
800,0.0,0.0508,55.5,0.00076193,124.336
1000,0.0,0.0508,55.5,0.00076193,125.586
1250,0.0,0.0508,55.5,0.00076193,127.076
2000,0.0,0.0508,55.5,0.00076193,131.456
3150,0.0,0.0508,55.5,0.00076193,134.826
4000,0.0,0.0508,55.5,0.00076193,134.946
5000,0.0,0.0508,55.5,0.00076193,134.556
6300,0.0,0.0508,55.5,0.00076193,132.796
8000,0.0,0.0508,55.5,0.00076193,130.156
10000,0.0,0.0508,55.5,0.00076193,127.636
12500,0.0,0.0508,55.5,0.00076193,125.376
800,0.0,0.0508,39.6,0.000791822,126.508
1000,0.0,0.0508,39.6,0.000791822,127.638
1250,0.0,0.0508,39.6,0.000791822,129.148
1600,0.0,0.0508,39.6,0.000791822,130.908
2000,0.0,0.0508,39.6,0.000791822,132.918
2500,0.0,0.0508,39.6,0.000791822,134.938
3150,0.0,0.0508,39.6,0.000791822,135.938
4000,0.0,0.0508,39.6,0.000791822,135.308
5000,0.0,0.0508,39.6,0.000791822,134.308
6300,0.0,0.0508,39.6,0.000791822,131.918
8000,0.0,0.0508,39.6,0.000791822,128.518
12500,0.0,0.0508,39.6,0.000791822,123.988
800,0.0,0.0508,31.7,0.000812164,122.79
1000,0.0,0.0508,31.7,0.000812164,126.78
1250,0.0,0.0508,31.7,0.000812164,129.27
2000,0.0,0.0508,31.7,0.000812164,133.01
3150,0.0,0.0508,31.7,0.000812164,135.49
5000,0.0,0.0508,31.7,0.000812164,133.23
12500,0.0,0.0508,31.7,0.000812164,119.07
1600,4.2,0.0508,71.3,0.00142788,124.318
2000,4.2,0.0508,71.3,0.00142788,129.848
3150,4.2,0.0508,71.3,0.00142788,133.728
4000,4.2,0.0508,71.3,0.00142788,133.598
5000,4.2,0.0508,71.3,0.00142788,132.828
6300,4.2,0.0508,71.3,0.00142788,129.308
10000,4.2,0.0508,71.3,0.00142788,121.238
12500,4.2,0.0508,71.3,0.00142788,117.328
1000,4.2,0.0508,39.6,0.00152689,125.647
1250,4.2,0.0508,39.6,0.00152689,128.427
1600,4.2,0.0508,39.6,0.00152689,130.197
2500,4.2,0.0508,39.6,0.00152689,133.847
4000,4.2,0.0508,39.6,0.00152689,131.807
6300,4.2,0.0508,39.6,0.00152689,125.717
8000,4.2,0.0508,39.6,0.00152689,120.397
10000,4.2,0.0508,39.6,0.00152689,116.967
800,8.4,0.0508,71.3,0.00529514,127.556
1000,8.4,0.0508,71.3,0.00529514,129.946
1250,8.4,0.0508,71.3,0.00529514,132.086
2000,8.4,0.0508,71.3,0.00529514,134.476
2500,8.4,0.0508,71.3,0.00529514,134.226
3150,8.4,0.0508,71.3,0.00529514,131.966
4000,8.4,0.0508,71.3,0.00529514,126.926
5000,8.4,0.0508,71.3,0.00529514,121.146
400,8.4,0.0508,55.5,0.00544854,121.582
500,8.4,0.0508,55.5,0.00544854,123.742
630,8.4,0.0508,55.5,0.00544854,126.152
800,8.4,0.0508,55.5,0.00544854,128.562
1000,8.4,0.0508,55.5,0.00544854,130.722
1250,8.4,0.0508,55.5,0.00544854,132.252
1600,8.4,0.0508,55.5,0.00544854,133.032
2000,8.4,0.0508,55.5,0.00544854,133.042
2500,8.4,0.0508,55.5,0.00544854,131.542
3150,8.4,0.0508,55.5,0.00544854,128.402
4000,8.4,0.0508,55.5,0.00544854,122.612
630,8.4,0.0508,39.6,0.00566229,126.045
1000,8.4,0.0508,39.6,0.00566229,130.195
1250,8.4,0.0508,39.6,0.00566229,131.205
1600,8.4,0.0508,39.6,0.00566229,130.965
2000,8.4,0.0508,39.6,0.00566229,129.965
2500,8.4,0.0508,39.6,0.00566229,127.465
3150,8.4,0.0508,39.6,0.00566229,123.965
400,8.4,0.0508,31.7,0.00580776,120.076
500,8.4,0.0508,31.7,0.00580776,122.966
630,8.4,0.0508,31.7,0.00580776,125.856
800,8.4,0.0508,31.7,0.00580776,128.246
1000,8.4,0.0508,31.7,0.00580776,129.516
1250,8.4,0.0508,31.7,0.00580776,130.156
1600,8.4,0.0508,31.7,0.00580776,129.296
2000,8.4,0.0508,31.7,0.00580776,127.686
2500,8.4,0.0508,31.7,0.00580776,125.576
3150,8.4,0.0508,31.7,0.00580776,122.086
4000,8.4,0.0508,31.7,0.00580776,118.106
200,11.2,0.0508,71.3,0.014072,125.941
250,11.2,0.0508,71.3,0.014072,127.101
315,11.2,0.0508,71.3,0.014072,128.381
400,11.2,0.0508,71.3,0.014072,129.281
630,11.2,0.0508,71.3,0.014072,133.611
800,11.2,0.0508,71.3,0.014072,136.031
1000,11.2,0.0508,71.3,0.014072,136.941
1250,11.2,0.0508,71.3,0.014072,136.191
2000,11.2,0.0508,71.3,0.014072,133.311
2500,11.2,0.0508,71.3,0.014072,130.541
3150,11.2,0.0508,71.3,0.014072,127.141
4000,11.2,0.0508,71.3,0.014072,122.471
200,11.2,0.0508,39.6,0.0150478,125.01
250,11.2,0.0508,39.6,0.0150478,126.43
315,11.2,0.0508,39.6,0.0150478,128.99
400,11.2,0.0508,39.6,0.0150478,130.67
500,11.2,0.0508,39.6,0.0150478,131.96
630,11.2,0.0508,39.6,0.0150478,133.13
800,11.2,0.0508,39.6,0.0150478,133.79
1000,11.2,0.0508,39.6,0.0150478,132.43
1250,11.2,0.0508,39.6,0.0150478,130.05
1600,11.2,0.0508,39.6,0.0150478,126.54
2000,11.2,0.0508,39.6,0.0150478,124.42
2500,11.2,0.0508,39.6,0.0150478,122.17
3150,11.2,0.0508,39.6,0.0150478,119.67
4000,11.2,0.0508,39.6,0.0150478,115.52
200,15.4,0.0508,71.3,0.0264269,123.595
315,15.4,0.0508,71.3,0.0264269,126.195
400,15.4,0.0508,71.3,0.0264269,126.805
500,15.4,0.0508,71.3,0.0264269,127.285
630,15.4,0.0508,71.3,0.0264269,129.645
800,15.4,0.0508,71.3,0.0264269,131.515
1000,15.4,0.0508,71.3,0.0264269,131.865
1250,15.4,0.0508,71.3,0.0264269,130.845
2500,15.4,0.0508,71.3,0.0264269,127.625
3150,15.4,0.0508,71.3,0.0264269,125.715
4000,15.4,0.0508,71.3,0.0264269,122.675
6300,15.4,0.0508,71.3,0.0264269,115.215
8000,15.4,0.0508,71.3,0.0264269,112.675
200,15.4,0.0508,55.5,0.0271925,122.94
250,15.4,0.0508,55.5,0.0271925,124.17
800,15.4,0.0508,55.5,0.0271925,130.43
1250,15.4,0.0508,55.5,0.0271925,130.0
1600,15.4,0.0508,55.5,0.0271925,128.2
2000,15.4,0.0508,55.5,0.0271925,127.04
3150,15.4,0.0508,55.5,0.0271925,123.46
4000,15.4,0.0508,55.5,0.0271925,120.92
5000,15.4,0.0508,55.5,0.0271925,117.11
6300,15.4,0.0508,55.5,0.0271925,112.93
200,15.4,0.0508,39.6,0.0282593,121.783
315,15.4,0.0508,39.6,0.0282593,124.493
400,15.4,0.0508,39.6,0.0282593,125.353
500,15.4,0.0508,39.6,0.0282593,125.963
630,15.4,0.0508,39.6,0.0282593,127.443
800,15.4,0.0508,39.6,0.0282593,128.423
1000,15.4,0.0508,39.6,0.0282593,127.893
1250,15.4,0.0508,39.6,0.0282593,126.743
2000,15.4,0.0508,39.6,0.0282593,123.443
2500,15.4,0.0508,39.6,0.0282593,122.413
3150,15.4,0.0508,39.6,0.0282593,120.513
5000,15.4,0.0508,39.6,0.0282593,114.453
6300,15.4,0.0508,39.6,0.0282593,109.663
200,15.4,0.0508,31.7,0.0289853,119.975
250,15.4,0.0508,31.7,0.0289853,121.225
315,15.4,0.0508,31.7,0.0289853,122.845
400,15.4,0.0508,31.7,0.0289853,123.705
630,15.4,0.0508,31.7,0.0289853,124.685
1000,15.4,0.0508,31.7,0.0289853,124.525
1250,15.4,0.0508,31.7,0.0289853,123.255
1600,15.4,0.0508,31.7,0.0289853,121.485
2000,15.4,0.0508,31.7,0.0289853,120.835
3150,15.4,0.0508,31.7,0.0289853,118.045
4000,15.4,0.0508,31.7,0.0289853,115.635
5000,15.4,0.0508,31.7,0.0289853,112.355
6300,15.4,0.0508,31.7,0.0289853,108.185
200,19.7,0.0508,71.3,0.0341183,118.005
250,19.7,0.0508,71.3,0.0341183,119.115
315,19.7,0.0508,71.3,0.0341183,121.235
400,19.7,0.0508,71.3,0.0341183,123.865
500,19.7,0.0508,71.3,0.0341183,126.995
630,19.7,0.0508,71.3,0.0341183,128.365
800,19.7,0.0508,71.3,0.0341183,124.555
1000,19.7,0.0508,71.3,0.0341183,121.885
1250,19.7,0.0508,71.3,0.0341183,121.485
1600,19.7,0.0508,71.3,0.0341183,120.575
2000,19.7,0.0508,71.3,0.0341183,120.055
3150,19.7,0.0508,71.3,0.0341183,116.225
4000,19.7,0.0508,71.3,0.0341183,113.045
200,19.7,0.0508,39.6,0.036484,125.974
250,19.7,0.0508,39.6,0.036484,127.224
315,19.7,0.0508,39.6,0.036484,129.864
400,19.7,0.0508,39.6,0.036484,130.614
500,19.7,0.0508,39.6,0.036484,128.444
630,19.7,0.0508,39.6,0.036484,120.324
800,19.7,0.0508,39.6,0.036484,119.174
1000,19.7,0.0508,39.6,0.036484,118.904
1250,19.7,0.0508,39.6,0.036484,118.634
1600,19.7,0.0508,39.6,0.036484,117.604
2000,19.7,0.0508,39.6,0.036484,117.724
2500,19.7,0.0508,39.6,0.036484,116.184
3150,19.7,0.0508,39.6,0.036484,113.004
4000,19.7,0.0508,39.6,0.036484,108.684
2500,0.0,0.0254,71.3,0.000400682,133.707
3150,0.0,0.0254,71.3,0.000400682,137.007
4000,0.0,0.0254,71.3,0.000400682,138.557
6300,0.0,0.0254,71.3,0.000400682,134.987
8000,0.0,0.0254,71.3,0.000400682,129.867
10000,0.0,0.0254,71.3,0.000400682,130.787
12500,0.0,0.0254,71.3,0.000400682,133.207
16000,0.0,0.0254,71.3,0.000400682,130.477
20000,0.0,0.0254,71.3,0.000400682,123.217
2000,0.0,0.0254,55.5,0.00041229,127.623
2500,0.0,0.0254,55.5,0.00041229,130.073
3150,0.0,0.0254,55.5,0.00041229,130.503
4000,0.0,0.0254,55.5,0.00041229,133.223
5000,0.0,0.0254,55.5,0.00041229,135.803
6300,0.0,0.0254,55.5,0.00041229,136.103
8000,0.0,0.0254,55.5,0.00041229,136.163
12500,0.0,0.0254,55.5,0.00041229,131.453
16000,0.0,0.0254,55.5,0.00041229,125.683
20000,0.0,0.0254,55.5,0.00041229,121.933
1600,0.0,0.0254,39.6,0.000428464,124.156
2000,0.0,0.0254,39.6,0.000428464,130.026
2500,0.0,0.0254,39.6,0.000428464,131.836
3150,0.0,0.0254,39.6,0.000428464,133.276
4000,0.0,0.0254,39.6,0.000428464,135.346
5000,0.0,0.0254,39.6,0.000428464,136.536
6300,0.0,0.0254,39.6,0.000428464,136.826
8000,0.0,0.0254,39.6,0.000428464,135.866
10000,0.0,0.0254,39.6,0.000428464,133.376
1000,0.0,0.0254,31.7,0.000439472,125.127
1600,0.0,0.0254,31.7,0.000439472,129.267
2000,0.0,0.0254,31.7,0.000439472,130.697
2500,0.0,0.0254,31.7,0.000439472,132.897
4000,0.0,0.0254,31.7,0.000439472,137.047
6300,0.0,0.0254,31.7,0.000439472,138.537
8000,0.0,0.0254,31.7,0.000439472,137.207
